feature,desc_en,desc_indo
loan_amnt,Last month payment was received,Pembayaran bulan lalu telah diterima
loan_status,Current status of the loan,Status pinjaman saat ini
max_bal_bc,Maximum current balance owed on all revolving accounts,Saldo terhutang maksimum saat ini pada semua akun bergulir
member_id,A unique LC assigned Id for the borrower member.,LC unik yang menetapkan Id untuk anggota peminjam.
mths_since_last_delinq,The number of months since the borrower's last delinquency.,Jumlah bulan sejak tunggakan terakhir peminjam.
mths_since_last_major_derog,Months since most recent 90-day or worse rating,Bulan sejak rating 90 hari terakhir atau lebih buruk
mths_since_last_record,The number of months since the last public record.,Jumlah bulan sejak pencatatan publik terakhir.
mths_since_rcnt_il,Months since most recent installment accounts opened,Bulan sejak rekening cicilan terakhir dibuka
next_pymnt_d,Next scheduled payment date,Tanggal pembayaran terjadwal berikutnya
open_acc,The number of open credit lines in the borrower's credit file.,Jumlah jalur kredit terbuka dalam file kredit peminjam.
open_acc_6m,Number of open trades in last 6 months,Jumlah perdagangan terbuka dalam 6 bulan terakhir
open_il_24m,Number of installment accounts opened in past 24 months,Jumlah rekening angsuran yang dibuka dalam 24 bulan terakhir
open_il_6m,Number of installment accounts opened in past 12 months,Jumlah rekening angsuran yang dibuka dalam 12 bulan terakhir
open_rv_12m,Number of revolving trades opened in past 12 months,Jumlah perdagangan bergulir yang dibuka dalam 12 bulan terakhir
open_rv_24m,Number of revolving trades opened in past 24 months,Jumlah perdagangan bergulir yang dibuka dalam 24 bulan terakhir
out_prncp,Remaining outstanding principal for total amount funded,Sisa pokok terutang untuk jumlah total yang didanai
out_prncp_inv,Remaining outstanding principal for portion of total amount funded by investors,Sisa pokok terutang untuk sebagian dari jumlah total yang didanai oleh investor
policy_code,"publicly available policy_code=1
new products not publicly available policy_code=2","policy_code=1 yang tersedia untuk umum
produk baru tidak tersedia untuk umum policy_code=2"
pub_rec,Number of derogatory public records,Jumlah catatan publik yang menghina
purpose,A category provided by the borrower for the loan request. ,Kategori yang disediakan oleh peminjam untuk permintaan pinjaman. 
recoveries,Indicates if a payment plan has been put in place for the loan,Menunjukkan apakah rencana pembayaran telah diterapkan untuk pinjaman
revol_bal,Total credit revolving balance,Total saldo kredit bergulir
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.        ","Tingkat pemanfaatan jalur bergulir, atau jumlah kredit yang digunakan peminjam relatif terhadap seluruh kredit bergulir yang tersedia.        "
sub_grade,LC assigned loan subgrade,LC menetapkan tanah dasar pinjaman
term,The number of payments on the loan. Values are in months and can be either 36 or 60.,Jumlah pembayaran pinjaman. Nilai dalam bulan dan dapat berupa 36 atau 60.
title,The loan title provided by the borrower,Judul pinjaman yang diberikan oleh peminjam
tot_coll_amt,Total collection amounts ever owed,Total jumlah penagihan yang terutang
tot_cur_bal,Total current balance of all accounts,Total saldo saat ini dari semua akun
total_acc,The total number of credit lines currently in the borrower's credit file,Jumlah total batas kredit yang saat ini ada dalam arsip kredit peminjam
total_bal_il,Total current balance of all installment accounts,Total saldo saat ini dari semua rekening angsuran
total_cu_tl,Number of finance trades,Jumlah perdagangan keuangan
total_pymnt,Payments received to date for total amount funded,Pembayaran diterima sampai saat ini untuk jumlah total yang didanai
total_pymnt_inv,Payments received to date for portion of total amount funded by investors,Pembayaran yang diterima sampai saat ini untuk sebagian dari jumlah total yang didanai oleh investor
total_rec_int,Interest received to date,Bunga yang diterima sampai saat ini
total_rec_late_fee,Late fees received to date,Biaya keterlambatan diterima sampai saat ini
total_rec_prncp,Principal received to date,Pokoknya diterima sampai saat ini
total_rev_hi_lim  ,Total revolving high credit/credit limit,Total batas kredit/kredit tinggi yang bergulir
url,URL for the LC page with listing data.,URL untuk halaman LC dengan data daftar.
verified_status_joint,"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified","Menunjukkan apakah pendapatan bersama peminjam bersama telah diverifikasi oleh LC, tidak diverifikasi, atau jika sumber pendapatan telah diverifikasi"
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.,3 angka pertama kode pos yang diberikan peminjam dalam permohonan pinjaman.
Amount Requested,The total amount requested by the borrower,Jumlah total yang diminta oleh peminjam
Application Date,The date which the borrower applied ,Tanggal peminjam mengajukan permohonan 
Loan Title,The loan title provided by the borrower,Judul pinjaman yang diberikan oleh peminjam
Risk_Score,"For applications prior to November 5, 2013 the risk score is the borrower's FICO score. For applications after November 5, 2013 the risk score is the borrower's Vantage score.","Untuk permohonan sebelum tanggal 5 November 2013, skor risikonya adalah skor FICO peminjam. Untuk permohonan setelah tanggal 5 November 2013, skor risikonya adalah skor Vantage peminjam."
Debt-To-Income Ratio,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.","Rasio yang dihitung menggunakan total pembayaran utang bulanan peminjam terhadap total kewajiban utang, tidak termasuk hipotek dan pinjaman LC yang diminta, dibagi dengan pendapatan bulanan peminjam yang dilaporkan sendiri."
Zip Code,The first 3 numbers of the zip code provided by the borrower in the loan application.,3 angka pertama kode pos yang diberikan peminjam dalam permohonan pinjaman.
State,The state provided by the borrower in the loan application,Negara yang disediakan oleh peminjam dalam permohonan pinjaman
Employment Length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.,Lamanya masa kerja dalam tahun. Nilai yang mungkin adalah antara 0 dan 10 dimana 0 berarti kurang dari satu tahun dan 10 berarti sepuluh tahun atau lebih.
Policy Code,"publicly available policy_code=1
new products not publicly available policy_code=2","policy_code=1 yang tersedia untuk umum
produk baru tidak tersedia untuk umum policy_code=2"
acceptD,The date which the borrower accepted  the offer,Tanggal peminjam menerima tawaran tersebut
accNowDelinq,The number of accounts on which the borrower is now delinquent.,Jumlah rekening dimana peminjam sekarang menunggak.
accOpenPast24Mths,Number of trades opened in past 24 months.,Jumlah perdagangan yang dibuka dalam 24 bulan terakhir.
addrState,The state provided by the borrower in the loan application,Negara yang disediakan oleh peminjam dalam permohonan pinjaman
annualInc,The self-reported annual income provided by the borrower during registration.,Pendapatan tahunan yang dilaporkan sendiri yang diberikan oleh peminjam saat pendaftaran.
avg_cur_bal,Average current balance of all accounts,Saldo rata-rata saat ini dari semua akun
bcOpenToBuy,Total open to buy on revolving bankcards.,Total terbuka untuk membeli pada kartu bank bergulir.
bcUtil,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,Rasio total saldo saat ini terhadap kredit/batas kredit tinggi untuk semua rekening kartu bank.
chargeoff_within_12_mths,Number of charge-offs within 12 months,Jumlah penagihan dalam 12 bulan
creditPullD,The date LC pulled credit for this loan,Tanggal LC menarik kredit untuk pinjaman ini
delinq2Yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,Jumlah tunggakan tunggakan lebih dari 30 hari dalam arsip kredit peminjam selama 2 tahun terakhir
delinqAmnt,The past-due amount owed for the accounts on which the borrower is now delinquent.,Jumlah hutang yang telah lewat jatuh tempo untuk rekening dimana peminjam sekarang menunggak.
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.","Rasio yang dihitung menggunakan total pembayaran utang bulanan peminjam terhadap total kewajiban utang, tidak termasuk hipotek dan pinjaman LC yang diminta, dibagi dengan pendapatan bulanan peminjam yang dilaporkan sendiri."
earliestCrLine,The date the borrower's earliest reported credit line was opened,Tanggal pembukaan batas kredit paling awal yang dilaporkan peminjam
effective_int_rate,The effective interest rate is equal to the interest rate on a Note reduced by Lending Club's estimate of the impact of uncollected interest prior to charge off. ,Suku bunga efektif sama dengan suku bunga  pada Surat Utang yang dikurangi dengan perkiraan Klub Peminjam mengenai dampak bunga yang tidak tertagih sebelum ditagih. 
empLength,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.,Lamanya masa kerja dalam tahun. Nilai yang mungkin adalah antara 0 dan 10 dimana 0 berarti kurang dari satu tahun dan 10 berarti sepuluh tahun atau lebih.
expD,The date the listing will expire,Tanggal daftar akan kedaluwarsa
expDefaultRate,The expected default rate of the loan.,Tingkat gagal bayar pinjaman yang diharapkan.
ficoRangeHigh,The upper boundary range the borrower’s FICO at loan origination belongs to.,Kisaran batas atas FICO peminjam pada saat awal pinjaman berada.
ficoRangeLow,The lower boundary range the borrower’s FICO at loan origination belongs to.,Kisaran batas bawah FICO peminjam pada saat pinjaman berasal.
fundedAmnt,The total amount committed to that loan at that point in time.,Jumlah total yang berkomitmen untuk pinjaman tersebut pada saat itu.
homeOwnership,"The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER.","Status kepemilikan rumah yang diberikan oleh peminjam pada saat pendaftaran. Nilai-nilai kami adalah: SEWA, SENDIRI, KPR, LAINNYA."
ils_exp_d,wholeloan platform expiration date,tanggal kedaluwarsa platform pinjaman utuh
initialListStatus,"The initial listing status of the loan. Possible values are – W, F","Status pencatatan awal pinjaman. Nilai yang mungkin adalah – W, ​​F"
inqLast6Mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries),Jumlah pertanyaan dalam 6 bulan terakhir (tidak termasuk pertanyaan otomotif dan hipotek)
intRate,Interest Rate on the loan,Suku Bunga pada pinjaman
isIncV,"Indicates if income was verified by LC, not verified, or if the income source was verified","Menunjukkan apakah pendapatan telah diverifikasi oleh LC, tidak diverifikasi, atau jika sumber pendapatan telah diverifikasi"
listD,The date which the borrower's application was listed on the platform.,Tanggal dimana permohonan peminjam terdaftar di platform.
loanAmnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.","Jumlah pinjaman yang tercantum yang diajukan oleh peminjam. Jika suatu saat departemen kredit mengurangi jumlah pinjaman, maka hal itu akan tercermin dalam nilai ini."
memberId,A unique LC assigned Id for the borrower member.,LC unik yang menetapkan Id untuk anggota peminjam.
mo_sin_old_rev_tl_op,Months since oldest revolving account opened,Bulan sejak rekening bergulir terlama dibuka
mo_sin_rcnt_rev_tl_op,Months since most recent revolving account opened,Bulan sejak rekening bergulir terbaru dibuka
mo_sin_rcnt_tl,Months since most recent account opened,Bulan sejak akun terakhir dibuka
mortAcc,Number of mortgage accounts.,Jumlah rekening hipotek.
msa,Metropolitan Statistical Area of the borrower.,Wilayah Statistik Metropolitan peminjam.
mths_since_oldest_il_open,Months since oldest bank installment account opened,Bulan sejak rekening cicilan bank tertua dibuka
mthsSinceLastDelinq,The number of months since the borrower's last delinquency.,Jumlah bulan sejak tunggakan terakhir peminjam.
mthsSinceLastRecord,The number of months since the last public record.,Jumlah bulan sejak pencatatan publik terakhir.
mthsSinceMostRecentInq,Months since most recent inquiry.,Berbulan-bulan sejak penyelidikan terakhir.
mthsSinceRecentBc,Months since most recent bankcard account opened.,Bulan sejak rekening kartu bank terbaru dibuka.
mthsSinceRecentLoanDelinq,Months since most recent personal finance delinquency.,Berbulan-bulan sejak tunggakan keuangan pribadi terbaru.
mthsSinceRecentRevolDelinq,Months since most recent revolving delinquency.,Berbulan-bulan sejak kenakalan bergulir terbaru.
num_accts_ever_120_pd,Number of accounts ever 120 or more days past due,Jumlah rekening yang telah lewat jatuh tempo 120 hari atau lebih
num_actv_bc_tl,Number of currently active bankcard accounts,Jumlah rekening kartu bank yang aktif saat ini
num_actv_rev_tl,Number of currently active revolving trades,Jumlah perdagangan bergulir yang aktif saat ini
num_bc_sats,Number of satisfactory bankcard accounts,Jumlah rekening kartu bank yang memuaskan
num_bc_tl,Number of bankcard accounts,Jumlah rekening kartu bank
num_il_tl,Number of installment accounts,Jumlah rekening angsuran
num_op_rev_tl,Number of open revolving accounts,Jumlah rekening bergulir yang terbuka
num_rev_accts,Number of revolving accounts,Jumlah akun bergulir
num_rev_tl_bal_gt_0,Number of revolving trades with balance >0,Jumlah perdagangan bergulir dengan saldo >0
num_sats,Number of satisfactory accounts,Jumlah akun yang memuaskan
num_tl_120dpd_2m,Number of accounts currently 120 days past due (updated in past 2 months),Jumlah rekening yang saat ini sudah lewat jatuh tempo 120 hari (diperbarui dalam 2 bulan terakhir)
num_tl_30dpd,Number of accounts currently 30 days past due (updated in past 2 months),Jumlah rekening yang saat ini telah lewat jatuh tempo 30 hari (diperbarui dalam 2 bulan terakhir)
num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months,Jumlah rekening yang lewat jatuh tempo 90 hari atau lebih dalam 24 bulan terakhir
num_tl_op_past_12m,Number of accounts opened in past 12 months,Jumlah rekening yang dibuka dalam 12 bulan terakhir
open_il_12m,Number of installment accounts opened in past 12 months,Jumlah rekening angsuran yang dibuka dalam 12 bulan terakhir
open_il_6m,Number of currently active installment trades,Jumlah perdagangan cicilan yang aktif saat ini
openAcc,The number of open credit lines in the borrower's credit file.,Jumlah jalur kredit terbuka dalam file kredit peminjam.
pct_tl_nvr_dlq,Percent of trades never delinquent,Persentase perdagangan tidak pernah menunggak
percentBcGt75,Percentage of all bankcard accounts > 75% of limit.,Persentase seluruh rekening kartu bank > 75% dari batas.
pub_rec_bankruptcies,Number of public record bankruptcies,Jumlah rekor kebangkrutan publik
pubRec,Number of derogatory public records,Jumlah catatan publik yang menghina
reviewStatus,"The status of the loan during the listing period. Values: APPROVED, NOT_APPROVED.","Status pinjaman selama periode pencatatan. Nilai: DISETUJUI, NOT_APPROVED."
reviewStatusD,The date the loan application was reviewed by LC,Tanggal permohonan pinjaman ditinjau oleh LC
revolBal,Total credit revolving balance,Total saldo kredit bergulir
revolUtil,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.","Tingkat pemanfaatan jalur bergulir, atau jumlah kredit yang digunakan peminjam relatif terhadap seluruh kredit bergulir yang tersedia."
serviceFeeRate,Service fee rate paid by the investor for this loan.,Tarif biaya layanan yang dibayarkan oleh investor untuk pinjaman ini.
subGrade,LC assigned loan subgrade,LC menetapkan tanah dasar pinjaman
tax_liens,Number of tax liens,Jumlah hak gadai pajak
tot_hi_cred_lim,Total high credit/credit limit,Total kredit/batas kredit yang tinggi
total_cu_t,Number of finance trades,Jumlah perdagangan keuangan
total_il_high_credit_limit,Total installment high credit/credit limit,Total cicilan kredit/batas kredit tinggi
totalAcc,The total number of credit lines currently in the borrower's credit file,Jumlah total batas kredit yang saat ini ada dalam arsip kredit peminjam
totalBalExMort,Total credit balance excluding mortgage,Total saldo kredit tidak termasuk hipotek
totalBcLimit,Total bankcard high credit/credit limit,Total batas kredit/kredit tinggi kartu bank
